framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,4096,2048,65536,0.6896897951761881
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,5,5120,12288,0.02383377816942003
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,6,128,1536,0.0124177775449223
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,768,5120,7168,0.03426577647527059
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,11,2560,8192,0.012080888781282636
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,6,10240,3584,0.01033866653839747
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,257,4096,1536,0.01633066601223416
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,65,3072,32,0.005985777825117111
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,769,6144,7168,0.0374293327331543
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,2305,4096,3072,0.05063466562165154
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,1536,51200,51200,2.485030280219184
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,192,65536,10240,0.09246133433447944
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,32,12288,2560,0.02885155545340644
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,48,1024,16384,0.018589332699775696
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,128,4096,768,0.005932444499598608
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,1,512,1024,0.0031991110493739447
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,3073,512,768,0.009147555463843876
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,225,16384,12288,0.03698488738801744
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,1280,10240,51200,0.3391253418392605
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,3584,128,768,0.009661333428488838
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,2560,1024,2048,0.012646222280131446
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,112,4096,4096,0.00830666638082928
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,12,32,256,0.005345777918895085
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,2304,8192,16384,0.24085956149631074
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,65,512,5120,0.008856000171767341
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,32768,768,65536,2.5384203592936196
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,12,1024,8192,0.011016888750924004
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,128,3072,256,0.005913777897755305
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,32768,1024,32,0.01331911070479287
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,225,1536,7168,0.01106844428512785
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,3073,2048,2048,0.017866666118303936
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,16384,12288,7168,1.5794639587402344
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8,1536,2560,6144,0.03767555620935228
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,3840,6144,65536,1.1760275099012587
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,2048,4096,12288,0.1139262252383762
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,bfloat16,49,2560,1536,0.004029333177540037
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,2048,1536,128,0.015858666764365304
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,nvfp4,10,2560,128,0.005183111048407025
SGLang,0.5.10,NVIDIA GB300,gemm,sglang,fp8_block,81,51200,6144,0.09600444634755452
