framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,bfloat16,384,7168,2048,8,384,16,16,power_law_1.01,0.14875904083251953
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,fp8_block,192,4096,1024,10,512,1,8,power_law_1.2,0.20822784423828128
SGLang,0.5.10,NVIDIA GB300,moe,sglang_marlin_moe,int4_wo,80,7168,2048,8,256,2,1,power_law_1.2,0.5729119873046875
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,fp8_block,320,3072,1536,8,256,4,1,power_law_1.2,0.2546777534484863
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,bfloat16,128,7168,2048,8,384,16,8,power_law_1.01,0.15374848365783692
SGLang,0.5.10,NVIDIA GB300,moe,sglang_marlin_moe,int4_wo,48,7168,2048,8,384,2,32,balanced,0.08175999641418456
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,fp8_block,128,7168,2048,8,256,1,256,power_law_1.2,0.05940351963043213
SGLang,0.5.10,NVIDIA GB300,moe,sglang_marlin_moe,int4_wo,3072,4096,1536,8,128,1,4,power_law_1.01,2.9192730712890627
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,bfloat16,12288,4096,2688,22,512,16,8,power_law_1.2,7.237626953125
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,fp8_block,96,3072,1536,8,256,1,8,power_law_1.01,0.12332672119140624
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,fp8_block,32,2048,768,8,128,4,64,balanced,0.031011838912963868
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,fp8_block,80,3072,1536,8,256,16,1,power_law_1.2,0.12630911827087404
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,fp8_block,1536,3072,1536,8,256,1,64,balanced,0.08238207817077636
SGLang,0.5.10,NVIDIA GB300,moe,sglang_marlin_moe,int4_wo,2,3072,1536,8,256,1,256,power_law_1.2,0.02444159984588623
SGLang,0.5.10,NVIDIA GB300,moe,sglang_marlin_moe,int4_wo,256,4096,1024,10,512,4,32,power_law_1.2,0.0948582363128662
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,fp8_block,768,6144,16384,2,8,16,8,power_law_1.01,0.09795328140258788
SGLang,0.5.10,NVIDIA GB300,moe,sglang_fused_moe_triton,bfloat16,4096,4096,14336,2,8,8,8,power_law_1.2,0.6731340789794922
