framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,64,1,0.006387200206518173
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,64,4,0.006511999666690827
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,384,32,0.013510400056838989
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,384,8,0.007942400127649307
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,1,4,0.006486400216817856
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,2048,2,0.013750399649143218
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,16,128,0.0123648002743721
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,3072,8,0.05289919972419739
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,8192,128,3.1917919158935546
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,3072,2,0.018739199638366698
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,768,2,0.006092799827456474
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,2,2,0.006393600255250931
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,128,64,0.018969599902629853
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,16,128,0.009052799642086029
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,32,32,0.008246400207281113
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,96,4,0.006543999910354615
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,64,8,0.006499200314283371
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,256,2,0.006527999788522721
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,1,8,0.012265600264072418
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,48,4,0.006550399959087372
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,2048,4,0.009993600100278855
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,320,128,0.0915552020072937
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,4,32,0.0068351998925209045
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,192,4,0.012118399888277055
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,512,2,0.006143999844789505
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,256,64,0.03786559998989105
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,320,16,0.016816000640392303
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,128,16,0.009904000163078307
