framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,1793,256,1536,0.01798488861984677
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,2305,51200,5120,3.825855255126953
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,11,12288,4096,0.1540693309572008
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,64,12288,768,0.03166133496496413
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,15,65536,64,0.005639111002286275
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,10,1536,64,0.00240355564488305
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,3584,128,5120,0.11138667000664605
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,5,768,128,0.004531555705600315
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,2304,7168,2048,0.18856710857815215
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,1536,51200,64,0.2345964378780789
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,2817,2048,16384,0.7461848788791232
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,7,8192,12288,0.1743466721640693
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,17,768,128,0.0035777779089079965
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,129,256,1024,0.0075457774930530125
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,112,3072,6144,0.03914133376545376
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,1793,512,1536,0.017478222648302715
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,9,65536,256,0.046684443950653076
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,4353,64,1536,0.01351199961370892
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,4353,768,3584,0.10175289048088922
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,6,3584,5120,0.028200000524520874
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,65,32,6144,0.004661333229806689
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,161,512,16384,0.03744533326890733
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,513,1536,1536,0.01573777695496877
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,2049,51200,1536,0.9622258080376519
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,1536,65536,64,0.3338649008009169
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,2816,768,65536,1.2764533360799153
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,1793,10240,128,0.04279999931653341
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,3,32,1024,0.007956444389290279
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,1024,16384,10240,1.6679662068684895
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,12,2048,7168,0.012206222448084088
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,14,51200,4096,0.33658843570285374
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,1536,2560,128,0.011023110813564725
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,2560,8192,8192,1.4527919557359483
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,fp8,3584,512,8192,0.2291733423868815
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,129,10240,51200,1.7433244917127821
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,8192,2048,65536,12.927495320638021
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,2817,65536,10240,20.771458943684895
SGLang,0.5.10,NVIDIA L40S,gemm,sglang,bfloat16,8192,12288,51200,51.1792738172743
