framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,64,16,0,0.013507199287414551
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,64,32,0,0.013436800241470337
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,1,1,64,64,0,0.013123199343681335
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,64,1,0,0.02122559994459152
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,64,2,0,0.021155199408531188
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,64,4,0,0.019934399425983428
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,8,1,64,8,0,0.019547200202941893
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,32,32,0,0.012943999469280243
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,4,1,64,16,0,0.01942239999771118
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,2,1,64,32,0,0.019284799695014954
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,1,1,64,64,0,0.01913439929485321
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,64,1,128,1,0,0.01672160029411316
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,128,2,0,0.01690399944782257
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,128,4,0,0.015835200250148774
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,128,8,0,0.015355199575424194
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,128,16,0,0.014998400211334228
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,128,32,0,0.015087999403476715
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,1,1,128,64,0,0.014004799723625182
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,128,1,0,0.023552000522613525
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,128,2,0,0.02250880002975464
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,128,4,0,0.022491200268268584
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,8,1,128,8,0,0.021169599890708924
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,4,1,128,16,0,0.02131199985742569
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,2,1,128,32,0,0.020798400044441223
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,1,1,128,64,0,0.020134399831295013
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,64,1,256,1,0,0.030211201310157774
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,256,2,0,0.020467199385166168
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,256,4,0,0.019315199553966524
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,256,8,0,0.019356800615787505
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,256,16,0,0.018287999927997588
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,256,32,0,0.01850239932537079
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,1,1,256,64,0,0.01736319959163666
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,256,1,0,0.039899200201034546
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,256,2,0,0.026822400093078614
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,256,4,0,0.026416000723838807
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,8,1,256,8,0,0.02545120120048523
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,4,1,256,16,0,0.025140801072120668
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,2,1,256,32,0,0.02444320023059845
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,1,1,256,64,0,0.02356960028409958
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,64,1,512,1,0,0.07026079893112183
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,512,2,0,0.03792159855365753
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,512,4,0,0.026734399795532226
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,512,8,0,0.033878400921821594
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,512,16,0,0.027396801114082336
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,512,32,0,0.02253440022468567
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,1,1,512,64,0,0.02154559940099716
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,512,1,0,0.08064960241317749
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,512,2,0,0.04706239998340607
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,512,4,0,0.0338239997625351
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,8,1,512,8,0,0.04254559874534607
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,4,1,512,16,0,0.03429439961910248
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,2,1,512,32,0,0.02921440005302429
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,1,1,512,64,0,0.028467199206352232
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,64,1,1024,1,0,0.17828960418701173
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,1024,2,0,0.09567520022392273
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,1024,4,0,0.05078240036964417
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,1024,16,0,0.04126720130443573
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,1024,32,0,0.031060799956321716
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,1,1,1024,64,0,0.026169601082801818
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,1024,1,0,0.18780959844589235
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,1024,2,0,0.10359840393066407
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,1024,8,0,0.04049760103225708
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,16,32,0,0.012617599964141846
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,16,8,0,0.013340799510478974
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,16,1,0,0.019569599628448488
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,1024,4,0,0.0626528024673462
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,1,1,1024,64,0,0.033379200100898745
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,8,1,1024,8,0,0.04785279929637909
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,2,1,1024,32,0,0.03963519930839539
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,4,1,1024,16,0,0.05052480101585388
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,1536,2,0,0.1740928053855896
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,1536,8,0,0.05449439883232117
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,1536,4,0,0.09508479833602905
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,64,1,1536,1,0,0.3327631950378418
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,1536,32,0,0.04158720076084137
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,1536,16,0,0.059515202045440675
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,16,4,0,0.01926079988479614
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,8,1,16,8,0,0.01958079934120178
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,1536,4,0,0.10591520071029663
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,1536,2,0,0.1831760048866272
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,1536,1,0,0.34297919273376465
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,1,1,1536,64,0,0.041596800088882446
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,2,1,1536,32,0,0.0526528000831604
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,4,1,1536,16,0,0.07116000056266784
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,2048,8,0,0.07877600193023682
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,2048,2,0,0.2775439977645874
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,2048,16,0,0.06836959719657898
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,64,1,2048,1,0,0.5361264228820801
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,2048,32,0,0.0573199987411499
