framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,128,0.008995199948549271
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,32,0.021775999665260316
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,4,0.00777600035071373
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,6144,16,0.053452801704406736
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1,8,0.007740800082683563
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2048,1,0.010902400314807891
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,8,0.004284799844026565
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2,4,0.004310400038957596
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,8,0.004243199899792671
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,160,32,0.006198399886488915
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2,1,0.00782719999551773
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2048,16,0.020422400534152986
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,64,0.005171199887990951
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,80,64,0.006441599875688553
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,8,0.010527999699115753
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,384,8,0.004912000149488449
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,8192,128,2.088604736328125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2048,2,0.014790399372577668
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,4,0.004092799872159958
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,3072,8,0.055068802833557126
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,3072,2,0.01860480010509491
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,768,2,0.004444799944758415
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,128,0.006310400366783142
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,64,0.007577600330114365
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,32,32,0.00923840031027794
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,80,1,0.00748480036854744
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,4,0.004243199899792671
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2048,4,0.007081600278615952
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,320,128,0.08652160167694092
SGLang,0.5.10,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,256,2,0.004073600098490715
