framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,1,5120,512,0.0052737775776121355
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,2304,10240,7168,0.08181866672303942
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,2560,65536,3072,0.5787359873453776
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,1793,8192,4096,0.07678577635023329
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,5,5120,12288,0.02421066661675771
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,2,7168,7168,0.03905422157711453
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,768,5120,7168,0.03709333472781711
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,6,128,1536,0.011697777443461947
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,11,2560,8192,0.012051555845472546
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,6,10240,3584,0.01038755559258991
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,65,3072,32,0.0058755555914507965
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,769,6144,7168,0.039247112141715154
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,1025,7168,5120,0.05654578076468574
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,160,65536,6144,0.14088800218370226
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,4096,2048,65536,0.7385813395182291
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,2305,4096,3072,0.05186222328080071
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,48,1024,16384,0.018176888426144917
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,128,4096,768,0.006230222268237009
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,1,512,1024,0.0028799999919202593
