framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.0047775998711586
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,1,1,1,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0047391999512910845
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,1,1,1,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.005071999877691269
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_fn,context,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.009273599833250046
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.007574400305747986
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,2,1,2,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.005833600088953972
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,1,1,1,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006550399959087372
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,1,1,1,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.007388799637556076
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,2,1,2,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.005481600016355515
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,2,1,2,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006054399907588959
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,2,1,2,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.006598400324583054
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,4,1,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.005728000029921532
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,2,1,2,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.006550399959087372
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,4,1,4,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.00628800019621849
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,2,1,2,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006883200258016586
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,4,1,4,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006185600161552429
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,4,1,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.006780800223350525
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,8,1,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.006249599903821945
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,4,1,4,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0068063996732234955
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,8,1,8,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0057472001761198046
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,4,1,4,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.008515200018882752
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,8,1,8,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006255999952554703
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,8,1,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.008607999980449676
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,16,1,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.006809599697589874
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,8,1,8,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.00851840004324913
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,16,1,16,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0070720002055168155
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,8,1,8,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.012630400061607362
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,16,1,16,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006592000275850296
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,16,1,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.014591999351978302
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,32,1,32,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.0067552000284194945
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,16,1,16,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.014787200093269347
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,32,1,32,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.007158400118350982
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,16,1,16,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.0171424001455307
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,32,1,32,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006841599941253662
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,32,1,32,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.025094398856163026
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,64,1,64,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.007257600128650665
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,32,1,32,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.02523840069770813
SGLang,0.5.10,NVIDIA GB200,gdn,causal_conv1d_update,generation,64,1,64,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.007046400010585785
SGLang,0.5.10,NVIDIA GB200,gdn,fused_recurrent_gated_delta_rule,generation,32,1,32,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.03710399866104126
