framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,67108864,0.2776032066345215,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,67108864,0.3202454376220703,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,134217728,0.5181251144409179,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,134217728,0.5986547088623047,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,268435456,0.9878141021728515,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,268435456,1.1487773132324217,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,536870912,1.8729685974121093,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,536870912,2.1903733825683593,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,128,0.007291200160980224,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,128,0.06099232196807861,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,256,0.007434239983558655,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,256,0.05862048149108887,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,512,0.007471680045127868,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,512,0.05288479804992676,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,1024,0.007536000013351441,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,1024,0.05272960186004638,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,2048,0.00744159996509552,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,2048,0.049731202125549316,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,4096,0.0076611202955245965,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,4096,0.05095967769622802,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,8192,0.007747200131416321,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,8192,0.04472383975982666,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,16384,0.00756447970867157,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,16384,0.040708160400390624,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,32768,0.007886719703674317,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,32768,0.04171328067779541,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,65536,0.008281919956207275,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,65536,0.042129597663879394,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,131072,0.008938559889793396,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,131072,0.04186079978942871,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,262144,0.018639999628067016,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,262144,0.04140128135681152,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,524288,0.019852800369262697,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,524288,0.04302015781402588,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,1048576,0.03002624034881592,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,1048576,0.04221663951873779,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,2097152,0.0463808012008667,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,2097152,0.057493119239807135,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,4194304,0.07977503776550293,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,4194304,0.09051967620849609,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,8388608,0.07878111839294434,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,8388608,0.10605567932128905,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,16777216,0.12368351936340331,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,16777216,0.13220767974853515,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,33554432,0.18314176559448242,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,33554432,0.20577184677124025,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,67108864,0.3507289505004883,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,67108864,0.39335998535156247,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,134217728,0.6769503784179688,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,134217728,0.761645736694336,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,268435456,1.2948538208007814,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,268435456,1.4777859497070314,sglang_eager
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,4,536870912,2.5183564758300783,sglang_graph
SGLang,0.5.10,NVIDIA GB200,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,4,536870912,2.8565460205078126,sglang_eager
