framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,bfloat16,112,6144,10240,0.02366755571630266
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8,2048,4096,16384,0.12098756101396348
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,nvfp4,3584,4096,65536,0.44441689385308164
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8,1025,65536,768,0.0776711106300354
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8,10,10240,10240,0.02845066785812378
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8,4096,128,2560,0.015571556157535978
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,nvfp4,3,1536,16384,0.015856888559129503
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,nvfp4,4097,3072,65536,0.42901333173116046
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,bfloat16,112,1024,51200,0.024255999260478552
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,nvfp4,4,10240,1536,0.008391111261314815
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8_block,32768,2048,512,0.0699111090766059
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8_block,1024,7168,8192,0.06839822398291694
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,nvfp4,2,1024,1024,0.0053022222386466126
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8,6,4096,512,0.0052986666560173035
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8_block,3073,3584,1536,0.03562488820817735
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8_block,97,6144,2560,0.018750222192870248
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8,4096,16384,10240,0.47904088762071395
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,fp8,513,51200,512,0.04008533226119147
SGLang,0.5.10,NVIDIA GB200,gemm,sglang,bfloat16,15,4096,2048,0.005969777703285217
